ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AJ7634,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/street-graphic-shorts-bhc31.html?a=214_48912
AJ7675,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pants-bfy68.html?a=214_57061
AJ7678,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pants-bfy68.html?a=214_57056
AJ7830,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-tee-bhd29.html?a=214_56539
AJ7880,210,,210.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-shorts-bhd36.html?a=214_56529
AJ7882,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-track-jacket-bhd34.html?a=214_56545
AJ7888,270,,270.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-track-pants-bhd26.html?a=214_48786
AJ7889,270,,270.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-track-jacket-bhd25.html?a=214_48808
AJ7903,140,,140.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/allover-print-tee-bhd15.html?a=214_48798
AJ7974,290,,290.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-hoodie-bhp03.html?a=214_56487
AJ7975,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-crew-sweatshirt-bhp04.html?a=214_56405
AJ7983,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-tee-bhp11.html?a=214_56409
AJ7984,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-track-pants-bhp12.html?a=214_56479
AJ8050,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-track-jacket-bhp36.html?a=214_56511
AJ8148,250,,250.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/trefoil-hoodie-bgy95.html?a=214_49030
AJ8153,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/trefoil-leggings-bgw62.html?a=214_48904
AJ8179,280,,280.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/asian-arena-backpack-bho88.html?a=214_56495
AJ8225,240,,240.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/chelsea-fc-track-jacket-bgz80.html?a=214_56725
AJ8296,219,,219.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/logo-sportswear-sweatshirt-bhq33.html?a=214_56833
AJ8413,220,,220.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/flock-hoodie-bgw93.html?a=214_49004
AJ8453,260,,260.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/equipment-holdall-bag-bhp44.html?a=214_48944
AJ8527,120,,120.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/classic-trefoil-backpack-bgv29.html?a=214_49036
AJ8608,199,,199.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/bowling-bag-bgv07.html?a=214_48834
AJ8615,159,,159.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sportswear-sweatshirt-bhr58.html?a=214_56752
AJ8617,119,,119.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sportswear-tee-dress-bhr60.html?a=214_56652
AJ8705,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/shopper-bag-bgv23.html?a=214_48858
AJ8857,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-number-tank-top-bgx82.html?a=214_56471
AJ8860,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-number-tee-bgx83.html?a=214_56499
AJ8867,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-track-jacket-bgx90.html?a=214_56451
AJ8868,260,,260.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-track-pants-bgx91.html?a=214_56475
AJ8869,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-leggings-bgx92.html?a=214_56383
AJ8870,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-tee-dress-bgx93.html?a=214_56459
AJ8880,120,,120.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-floral-tank-top-bgy21.html?a=214_56549
AJ8888,140,,140.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-cuff-tee-bgx98.html?a=214_48908
AJ8896,120,,120.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-snap-leggings-bgx79.html?a=214_48756
AJ8921,50,,,,,Article Error,2016-01-01 00:00:00,Product NOT Available: http://adidasmystg.specom.io/thin-graphic-crew-socks-2-pairs-abz54.html?a=214_48978
AJ8954,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/trefoil-trucker-hat-bhh19.html?a=214_48794
AJ9249,180,,180.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/uncontrol-climachill-polo-shirt-bbk19.html?a=214_56074
AJ9275,180,,180.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/climacool-aeroknit-polo-shirt-bbk62.html?a=214_56056
AJ9289,180,,180.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/uncontrol-climachill-polo-shirt-bbk64.html?a=214_48321
