ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AQ5672,590,,590.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/novak-pro-shoes-kcv74.html?a=214_49064
AQ6279,199,,199.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/superstar-shoes-kdk52.html?a=214_56192
AQ6280,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/superstar-shoes-kdk53.html?a=214_56189
AQ6680,419,,419.00,,Yes,Success,2016-02-03 00:00:00,http://adidasmystg.specom.io/pure-boost-x-shoes-kdx78.html?a=214_56183
AQ6681,419,,419.00,,Yes,Success,2016-03-02 00:00:00,http://adidasmystg.specom.io/pure-boost-x-shoes-kei49.html?a=214_56202
AQ6682,419,,419.00,,Yes,Success,2016-03-02 00:00:00,http://adidasmystg.specom.io/pure-boost-x-shoes-kdx79.html?a=214_56198
AQ6722,450,,450.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/tubular-radial-shoes-kdy03.html?a=214_56429
AQ6723,450,,450.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/tubular-radial-shoes-kdy03.html?a=214_56483
AQ6724,450,,450.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/tubular-radial-shoes-kdy03.html?a=214_56439
AQ6726,450,,450.00,,Yes,Success,2016-11-02 00:00:00,http://adidasmystg.specom.io/tubular-radial-shoes-kdy04.html?a=214_56435
