"articlenumber_value","price","special_price","releasedate"
"AJ9984","1390",,"2016-01-02 00:00:00"
"AJ9988","590",,"2016-01-02 00:00:00"
"AJ9989","590",,"2016-01-02 00:00:00"
"AJ9991","1790",,"2016-01-02 00:00:00"
"AJ9992","1790",,"2016-01-02 00:00:00"
"AJ9993","1590",,"2016-01-02 00:00:00"
"AJ9994","1590",,"2016-01-02 00:00:00"
"AJ9997","1390",,"2016-01-02 00:00:00"
"AJ9998","1390",,"2016-01-02 00:00:00"
"AK0025","490",,"2016-01-02 00:00:00"
"AK0026","490",,"2016-01-02 00:00:00"
"AK0027","490",,"2016-01-02 00:00:00"
"AK0071","1490",,"2016-01-02 00:00:00"
"AK0072","1490",,"2016-01-02 00:00:00"
"AK0078","1090",,"2016-01-02 00:00:00"
"AK0083","990",,"2016-01-01 00:00:00"
"AK0088","1090",,"2016-01-01 00:00:00"
"AK0238","1390",,"2016-01-02 00:00:00"
"AK0375","2290",,"2016-01-02 00:00:00"
"AK0674","990",,"2016-01-02 00:00:00"
"AK0690","1490",,"2016-01-02 00:00:00"
"AK0706","1990",,"2016-01-01 00:00:00"
"AK0707","1990",,"2016-01-02 00:00:00"
"AK0711","1290",,"2016-01-01 00:00:00"
"AK0718","1690",,"2016-01-02 00:00:00"
"AK0946","890",,"2016-01-01 00:00:00"
"AK0959","890",,"2016-01-02 00:00:00"
"AK0960","890",,"2016-01-02 00:00:00"
"AK0971","1590",,"2016-01-02 00:00:00"
"AK0980","2090",,"2016-01-02 00:00:00"
"AK1188","1790",,"2016-01-02 00:00:00"
"AK1193","890",,"2016-01-02 00:00:00"
"AK1195","890",,"2016-01-02 00:00:00"
"AK1535","990",,"2016-01-01 00:00:00"
"AK1601","2590",,"2016-01-02 00:00:00"
"AK1603","2590",,"2016-01-01 00:00:00"
"AK1617","790",,"2016-01-02 00:00:00"
"AK1618","790",,"2016-01-01 00:00:00"
"AK1757","990",,"2016-01-02 00:00:00"
"AK1764","1290",,"2016-01-01 00:00:00"
"AK1765","1290",,"2016-01-02 00:00:00"
"AK1794","790",,"2016-01-02 00:00:00"
"AK1796","790",,"2016-01-02 00:00:00"
"AK1798","790",,"2016-01-01 00:00:00"
"AK1822","990",,"2016-01-02 00:00:00"
"AK1823","990",,"2016-01-02 00:00:00"
"AK1824","2590",,"2016-01-02 00:00:00"
"AK1906","990",,"2016-01-02 00:00:00"
"AK1907","1990",,"2016-01-02 00:00:00"
"AK2036","890",,"2016-01-02 00:00:00"
"AK2066","890",,"2016-01-02 00:00:00"
"AK2094","1390",,"2016-01-02 00:00:00"
"AK2146","1090",,"2016-01-01 00:00:00"
"AK2259","990",,"2016-01-01 00:00:00"
"AK2260","990",,"2016-01-01 00:00:00"
"AK2263","390",,"2016-01-01 00:00:00"
"AK2266","390",,"2016-01-01 00:00:00"
"AK2298","190",,"2016-01-01 00:00:00"
"AK2299","190",,"2016-01-01 00:00:00"
"AK2300","190",,"2016-01-01 00:00:00"
"AK2311","190",,"2016-01-01 00:00:00"
"AK2312","190",,"2016-01-01 00:00:00"
"AK2313","190",,"2016-01-01 00:00:00"
"AK2366","1190",,"2016-01-02 00:00:00"
"AK2367","1190",,"2016-01-02 00:00:00"
"AK2368","1190",,"2016-01-02 00:00:00"
"AK2369","1290",,"2016-01-02 00:00:00"
"AK2370","1290",,"2016-01-02 00:00:00"
"AK2378","1190",,"2016-01-02 00:00:00"
"AK2379","1190",,"2016-01-02 00:00:00"
"AK2380","1190",,"2016-01-02 00:00:00"
"AK2472","1290",,"2016-01-02 00:00:00"
"AK2473","1290",,"2016-01-02 00:00:00"
"AK2518","990",,"2016-01-01 00:00:00"
"AK2563","1390",,"2016-01-02 00:00:00"
"AK2661","890",,"2016-01-02 00:00:00"
"AK2662","890",,"2016-01-02 00:00:00"
"AK2684","1990",,"2016-01-02 00:00:00"
"AK2700","890",,"2016-01-02 00:00:00"
"AK2701","990",,"2016-01-02 00:00:00"
"AN9907","1490",,"2016-01-02 00:00:00"
"AO0020","1490",,"2016-01-02 00:00:00"
"AO0537","2890",,"2016-01-02 00:00:00"
"AO1585","1990",,"2016-01-02 00:00:00"
"AO2289","1790",,"2016-15-01 00:00:00"
"AO2296","1290",,"2016-01-02 00:00:00"
"AO2532","690",,"2016-01-02 00:00:00"
"AO2533","690",,"2016-01-02 00:00:00"
"AO2810","990",,"2016-01-01 00:00:00"
"AO2825","790",,"2016-01-02 00:00:00"
"AO2919","5390",,"2016-15-02 00:00:00"
"AO2921","1890",,"2016-15-02 00:00:00"
"AO3004","990",,"2016-01-02 00:00:00"
"AO3414","750",,"2016-01-02 00:00:00"
"AO3468","1590",,"2016-01-01 00:00:00"
"AO3801","2890",,"2016-15-02 00:00:00"
"AP0509","2990",,"2016-01-02 00:00:00"
"AP8544","5390",,"2016-15-02 00:00:00"
"AP9775","2590",,"2016-01-02 00:00:00"
"AQ1430","2090",,"2016-01-01 00:00:00"
"AQ1442","1290",,"2016-01-01 00:00:00"
"AQ1485","1890",,"2016-01-01 00:00:00"
"AQ1489","2290",,"2016-01-02 00:00:00"
"AQ1490","2290",,"2016-01-02 00:00:00"
"AQ1491","2290",,"2016-01-02 00:00:00"
"AQ1550","1290",,"2016-01-01 00:00:00"
"AQ2083","4290",,"2016-05-02 00:00:00"
"AQ2551","4990",,"2016-29-01 00:00:00"
"AQ2555","3390",,"2016-29-01 00:00:00"
"AQ2557","3390",,"2016-29-01 00:00:00"
"AQ2561","2290",,"2016-29-01 00:00:00"
"AQ2565","2590",,"2016-29-01 00:00:00"
"AQ2566","2590",,"2016-29-01 00:00:00"
"AQ2590","3390",,"2016-29-01 00:00:00"
"AQ2663","10000",,"2016-26-02 00:00:00"
"AQ2669","11990",,"2016-29-01 00:00:00"
"AQ3082","10000",,"2016-29-01 00:00:00"
"AQ3490","5990",,"2016-29-01 00:00:00"
"AQ3925","3390",,"2016-29-01 00:00:00"
"AQ4439","4690",,"2016-01-02 00:00:00"
"AQ4440","4690",,"2016-01-02 00:00:00"
"AQ4441","4690",,"2016-01-02 00:00:00"
"AQ4442","4690",,"2016-01-02 00:00:00"
"AQ4823","1690",,"2016-01-01 00:00:00"
"AQ4845","1590",,"2016-01-02 00:00:00"
"AQ4878","3790",,"2016-01-01 00:00:00"
"AQ4895","4190",,"2016-05-02 00:00:00"
"AQ4901","2990",,"2016-05-02 00:00:00"
"AQ4935","1090",,"2016-01-02 00:00:00"
"AQ4936","1090",,"2016-01-02 00:00:00"
"AQ5050","1090",,"2016-01-02 00:00:00"
"AQ5064","7990",,"2016-29-01 00:00:00"
"AQ5069","1990",,"2016-05-02 00:00:00"
"AQ5151","10000",,"2016-29-01 00:00:00"
"AQ5256","690",,"2016-01-01 00:00:00"
"AQ5671","4290",,"2016-29-01 00:00:00"
"AQ5672","5990",,"2016-01-01 00:00:00"
"AQ6279","2290",,"2016-01-02 00:00:00"
"AQ6280","1990",,"2016-01-02 00:00:00"
"AQ6680","4690",,"2016-03-02 00:00:00"
"AQ6681","4690",,"2016-03-02 00:00:00"
"AQ6682","4690",,"2016-03-02 00:00:00"
"AQ6722","5290",,"2016-01-02 00:00:00"
"AQ6723","5290",,"2016-01-02 00:00:00"
"AQ6724","5290",,"2016-01-02 00:00:00"
"AQ6726","5290",,"2016-11-02 00:00:00"
"AQ6761","4690",,"2016-24-02 00:00:00"
"AQ6763","4690",,"2016-24-02 00:00:00"
"AQ8490","3890",,"2016-01-02 00:00:00"
"AZ3246","3490",,"2016-01-02 00:00:00"
"AZ4939","1690",,"2016-01-02 00:00:00"
"AZ4941","1690",,"2016-01-02 00:00:00"
"AZ4943","1690",,"2016-01-02 00:00:00"
"AZ4946","2990",,"2016-01-02 00:00:00"
"B27136","3190",,"2015-01-02 00:00:00"
"B48968","1690",,"2016-01-02 00:00:00"
"B48970","1690",,"2016-01-02 00:00:00"
"B48974","2990",,"2016-01-02 00:00:00"
"B48990","1690",,"2016-01-02 00:00:00"
"D67479","690",,"2014-01-07 00:00:00"
"F37123","4890",,"2016-01-02 00:00:00"
"F37124","4890",,"2016-05-02 00:00:00"
"F37357","2690",,"2016-01-01 00:00:00"
"F99357","1990",,"2016-01-01 00:00:00"
"F99461","1790",,"2016-01-02 00:00:00"
"F99462","1790",,"2016-01-02 00:00:00"
"F99466","1790",,"2016-01-02 00:00:00"
"F99567","2090",,"2016-01-01 00:00:00"
"F99572","2590",,"2016-01-02 00:00:00"
"F99574","2590",,"2016-01-02 00:00:00"
"F99667","1990",,"2016-01-01 00:00:00"
"G06799","790",,"2012-01-09 00:00:00"
"M20607","2290",,"2015-01-01 00:00:00"
"S11629","490",,"2015-22-07 00:00:00"
"S12328","990",,"2015-01-04 00:00:00"
"S12630","1890",,"2015-15-06 00:00:00"
"S12653","2890",,"2015-15-06 00:00:00"
"S14294","2790",,"2015-13-05 00:00:00"
"S17593","790",,"2015-01-03 00:00:00"
"S17995","1690",,"2015-01-05 00:00:00"
"S21490","690",,"2015-01-01 00:00:00"
"S21998","250",,"2015-01-01 00:00:00"
"S23015","890",,"2016-01-07 00:00:00"
"S32010","3490",,"2016-01-01 00:00:00"
"S74493","3590",,"2016-01-01 00:00:00"
"S74495","3590",,"2016-01-01 00:00:00"
"S74500","4890",,"2016-01-01 00:00:00"
"S74514","2290",,"2016-01-02 00:00:00"
"S74515","2290",,"2016-01-02 00:00:00"
"S74516","2290",,"2016-01-02 00:00:00"
"S74595","7990",,"2016-05-02 00:00:00"
