"articlenumber_value","price","special_price","releasedate"
"AJ5552","109",,"2016-01-02 00:00:00"
"AJ5553","109",,"2016-01-02 00:00:00"
"AJ5563","89",,"2016-01-02 00:00:00"
"AJ5577","89",,"2016-01-02 00:00:00"
"AJ5590","29",,"2016-01-02 00:00:00"
"AJ5591","29",,"2016-01-02 00:00:00"
"AJ5597","79",,"2016-01-02 00:00:00"
"AJ5632","35",,"2016-01-01 00:00:00"
"AJ5712","99",,"2016-01-01 00:00:00"
"AJ5743","39",,"2016-01-02 00:00:00"
"AJ5750","49",,"2016-01-02 00:00:00"
"AJ5751","49",,"2016-01-01 00:00:00"
"AJ5757","39",,"2016-01-02 00:00:00"
"AJ5758","39",,"2016-01-01 00:00:00"
"AJ5762","35",,"2016-01-02 00:00:00"
"AJ5775","89",,"2016-01-02 00:00:00"
"AJ5778","59",,"2016-01-02 00:00:00"
"AJ6044","39",,"2016-01-02 00:00:00"
"AJ6053","99",,"2016-01-02 00:00:00"
"AJ6067","45",,"2016-01-02 00:00:00"
"AJ6131","35",,"2016-01-01 00:00:00"
"AJ6133","79",,"2016-01-01 00:00:00"
"AJ6220","39",,"2016-01-02 00:00:00"
"AJ6223","59",,"2016-01-02 00:00:00"
"AJ6270","25",,"2016-01-02 00:00:00"
"AJ6271","25",,"2016-01-02 00:00:00"
"AJ6272","59",,"2016-01-02 00:00:00"
"AJ6278","55",,"2016-01-02 00:00:00"
"AJ6279","55",,"2016-01-02 00:00:00"
"AJ6393","59",,"2016-01-01 00:00:00"
"AJ6412","39",,"2016-01-01 00:00:00"
"AJ6557","35",,"2016-01-02 00:00:00"
"AJ6570","49",,"2016-01-01 00:00:00"
"AJ6572","49",,"2016-01-02 00:00:00"
"AJ6573","49",,"2016-01-02 00:00:00"
"AJ6586","59",,"2016-01-01 00:00:00"
"AJ6588","59",,"2016-01-02 00:00:00"
"AJ6964","89",,"2016-01-01 00:00:00"
"AJ7012","45",,"2016-01-01 00:00:00"
"AJ7018","49",,"2016-01-01 00:00:00"
"AJ7099","109",,"2016-01-02 00:00:00"
"AJ7140","49",,"2016-01-02 00:00:00"
"AJ7142","49",,"2016-01-02 00:00:00"
"AJ7166","45",,"2016-01-02 00:00:00"
"AJ7183","45",,"2016-01-01 00:00:00"
"AJ7230","119",,"2016-01-02 00:00:00"
"AJ7232","59",,"2016-01-02 00:00:00"
"AJ7234","129",,"2016-01-02 00:00:00"
"AJ7242","69",,"2016-01-02 00:00:00"
"AJ7266","79",,"2016-01-02 00:00:00"
"AJ7343","189",,"2016-30-01 00:00:00"
"AJ7379","35",,"2016-01-01 00:00:00"
"AJ7387","45",,"2016-01-02 00:00:00"
"AJ7634","89",,"2016-01-01 00:00:00"
"AJ7830","55",,"2016-01-02 00:00:00"
"AJ7880","79",,"2016-01-02 00:00:00"
"AJ7882","119",,"2016-01-02 00:00:00"
"AJ7888","109",,"2016-01-01 00:00:00"
"AJ7889","119",,"2016-01-01 00:00:00"
"AJ7903","55",,"2016-01-01 00:00:00"
"AJ7974","119",,"2016-01-02 00:00:00"
"AJ7975","119",,"2016-01-02 00:00:00"
"AJ7983","49",,"2016-01-02 00:00:00"
"AJ7984","119",,"2016-01-02 00:00:00"
"AJ8050","119",,"2016-01-02 00:00:00"
"AJ8148","99",,"2016-01-01 00:00:00"
"AJ8153","49",,"2016-01-01 00:00:00"
"AJ8179","99",,"2016-01-02 00:00:00"
"AJ8225","99",,"2016-01-02 00:00:00"
"AJ8413","89",,"2016-01-01 00:00:00"
"AJ8453","99",,"2016-01-01 00:00:00"
"AJ8527","49",,"2016-15-01 00:00:00"
"AJ8608","79",,"2016-01-01 00:00:00"
"AJ8705","29",,"2016-01-01 00:00:00"
"AJ8857","49",,"2016-01-02 00:00:00"
"AJ8860","49",,"2016-01-02 00:00:00"
"AJ8867","119",,"2016-01-02 00:00:00"
"AJ8868","109",,"2016-01-02 00:00:00"
"AJ8869","49",,"2016-01-02 00:00:00"
"AJ8870","79",,"2016-01-02 00:00:00"
"AJ8880","49",,"2016-01-01 00:00:00"
"AJ8888","55",,"2016-01-01 00:00:00"
"AJ8896","45",,"2016-01-01 00:00:00"
"AJ8921","22",,"2016-01-01 00:00:00"
"AJ8954","29",,"2016-01-01 00:00:00"
"AJ9249","69",,"2016-15-01 00:00:00"
"AJ9270","69",,"2016-01-01 00:00:00"
"AJ9275","69",,"2016-01-01 00:00:00"
"AJ9289","69",,"2016-15-01 00:00:00"
"AJ9325","35",,"2016-01-02 00:00:00"
