"articlenumber_value","price","special_price","releasedate"
"S79047","1499000",,"2015-01-11 00:00:00"
"S79061","1499000",,"2016-15-02 00:00:00"
"S79062","1499000",,"2016-15-02 00:00:00"
"S79095","1599000",,"2016-01-01 00:00:00"
"S79096","1599000",,"2016-01-01 00:00:00"
"S79299","1599000",,"2016-01-02 00:00:00"
"S79478","2999000",,"2016-30-01 00:00:00"
"S81337","999000",,"2015-01-06 00:00:00"
"S81338","999000",,"2015-01-06 00:00:00"
"S88115","499000",,"2015-01-07 00:00:00"
"S90218","279000",,"2015-15-08 00:00:00"
"S90220","279000",,"2015-15-08 00:00:00"
"S90389","399000",,"2015-01-07 00:00:00"
"S95874","199000",,"2016-01-01 00:00:00"
