"articlenumber_value","price","special_price","releasedate"
"AJ9998","1595",,"2016-01-02 00:00:00"
"AK0025","650",,"2016-01-02 00:00:00"
"AK0026","650",,"2016-01-02 00:00:00"
"AK0027","650",,"2016-01-02 00:00:00"
"AK0071","1895",,"2016-01-02 00:00:00"
"AK0072","1895",,"2016-01-02 00:00:00"
"AK0078","1895",,"2016-01-02 00:00:00"
"AK0083","1395",,"2016-01-01 00:00:00"
"AK0088","1495",,"2016-01-01 00:00:00"
"AK0238","1795",,"2016-01-02 00:00:00"
"AK0707","2495",,"2016-01-02 00:00:00"
"AK0718","1995",,"2016-01-02 00:00:00"
"AK1535","1195",,"2016-01-01 00:00:00"
"AK1617","1095",,"2016-01-02 00:00:00"
"AK1618","1095",,"2016-01-01 00:00:00"
"AK1757","1495",,"2016-01-02 00:00:00"
"AK1764","1495",,"2016-01-01 00:00:00"
"AK1765","1495",,"2016-01-02 00:00:00"
"AK1794","995",,"2016-01-02 00:00:00"
"AK1795","995",,"2016-01-02 00:00:00"
"AK1796","995",,"2016-01-02 00:00:00"
"AK1798","995",,"2016-01-01 00:00:00"
"AK1801","2195",,"2016-01-02 00:00:00"
"AK1822","1495",,"2016-01-02 00:00:00"
"AK1823","1495",,"2016-01-02 00:00:00"
"AK1945","1995",,"2016-01-02 00:00:00"
"AK2036","995",,"2016-01-02 00:00:00"
"AK2094","1695",,"2016-01-02 00:00:00"
"AK2146","1395",,"2016-01-01 00:00:00"
"AK2472","1495",,"2016-01-02 00:00:00"
"AK2518","1295",,"2016-01-01 00:00:00"
"AK2700","1195",,"2016-01-02 00:00:00"
"AK2701","1195",,"2016-01-02 00:00:00"
"AN9907","1895",,"2016-01-02 00:00:00"
"AN9959","995",,"2016-01-01 00:00:00"
"AO0515","695",,"2016-01-01 00:00:00"
"AO0517","695",,"2016-01-01 00:00:00"
"AO1474","3295",,"2016-01-02 00:00:00"
"AO2289","1895",,"2016-15-01 00:00:00"
"AO2532","695",,"2016-01-02 00:00:00"
"AO2533","695",,"2016-01-02 00:00:00"
"AO2825","995",,"2016-01-02 00:00:00"
"AO2919","7195",,"2016-15-02 00:00:00"
"AO2921","2495",,"2016-15-02 00:00:00"
"AO3004","1495",,"2016-01-02 00:00:00"
"AO3414","1095",,"2016-01-02 00:00:00"
"AO3801","3595",,"2016-15-02 00:00:00"
"AO3933","1195",,"2016-01-02 00:00:00"
"AO3934","695",,"2016-01-01 00:00:00"
"AO4054","1895",,"2016-01-02 00:00:00"
"AP8544","7195",,"2016-15-02 00:00:00"
"AP9775","3795",,"2016-01-02 00:00:00"
"AQ1331","2595",,"2016-01-02 00:00:00"
"AQ1332","2595",,"2016-01-01 00:00:00"
"AQ1362","2995",,"2016-01-01 00:00:00"
"AQ1377","2795",,"2016-01-02 00:00:00"
"AQ1430","2895",,"2016-01-01 00:00:00"
"AQ1442","1795",,"2016-01-01 00:00:00"
"AQ1489","3295",,"2016-01-02 00:00:00"
"AQ1490","3295",,"2016-01-02 00:00:00"
"AQ1491","3295",,"2016-01-02 00:00:00"
"AQ1550","1795",,"2016-01-01 00:00:00"
"AQ1557","2995",,"2016-01-02 00:00:00"
"AQ2555","4595",,"2016-29-01 00:00:00"
"AQ2590","4595",,"2016-29-01 00:00:00"
"AQ2915","6495",,"2016-01-01 00:00:00"
"AQ3082","13595",,"2016-29-01 00:00:00"
"AQ4439","6295",,"2016-01-02 00:00:00"
"AQ4440","6295",,"2016-01-02 00:00:00"
"AQ4441","6295",,"2016-01-02 00:00:00"
"AQ4442","6295",,"2016-01-02 00:00:00"
"AQ4823","1995",,"2016-01-01 00:00:00"
"AQ4935","1395",,"2016-01-02 00:00:00"
"AQ4936","1395",,"2016-01-02 00:00:00"
"AQ5050","1395",,"2016-01-02 00:00:00"
"AQ5151","13595",,"2016-29-01 00:00:00"
"AQ5256","995",,"2016-01-01 00:00:00"
"AQ6279","2695",,"2016-01-02 00:00:00"
"AQ6280","2195",,"2016-01-02 00:00:00"
"AQ6680","5795",,"2016-03-02 00:00:00"
"AQ6681","5795",,"2016-03-02 00:00:00"
"AQ6682","5795",,"2016-03-02 00:00:00"
"AQ6722","6495",,"2016-01-02 00:00:00"
"AQ6723","6495",,"2016-01-02 00:00:00"
"AQ6724","6495",,"2016-01-02 00:00:00"
"AQ6726","6495",,"2016-11-02 00:00:00"
"AQ6761","5995",,"2016-24-02 00:00:00"
"AQ6763","5995",,"2016-24-02 00:00:00"
"AQ6787","5995",,"2016-01-01 00:00:00"
"AQ7412","7995",,"2016-01-02 00:00:00"
"AQ7959","6495",,"2016-15-01 00:00:00"
"AQ7960","8995",,"2016-15-01 00:00:00"
"AQ8212","5595",,"2016-12-02 00:00:00"
"AQ8489","4895",,"2016-01-01 00:00:00"
"AQ8490","4895",,"2016-01-02 00:00:00"
"AQ8498","2995",,"2016-01-01 00:00:00"
"AQ8550","5995",,"2016-01-02 00:00:00"
"AQ8598","4495",,"2016-01-02 00:00:00"
"AQ8723","5995",,"2016-07-01 00:00:00"
"AQ8724","5995",,"2016-11-02 00:00:00"
"AQ8729","5495",,"2016-01-02 00:00:00"
"AQ8730","5495",,"2016-01-02 00:00:00"
"AQ8731","5495",,"2016-01-02 00:00:00"
"AZ3246","3895",,"2016-01-02 00:00:00"
"AZ4939","1895",,"2016-01-02 00:00:00"
"AZ4941","1895",,"2016-01-02 00:00:00"
"AZ4943","1695",,"2016-01-02 00:00:00"
"AZ4946","3295",,"2016-01-02 00:00:00"
"B27136","4395",,"2015-01-02 00:00:00"
"B48968","1695",,"2016-01-02 00:00:00"
"B48970","1695",,"2016-01-02 00:00:00"
"B48974","3295",,"2016-01-02 00:00:00"
"B48990","1995",,"2016-01-02 00:00:00"
"D67479","895",,"2014-01-06 00:00:00"
"F37122","5995",,"2016-01-02 00:00:00"
"F37123","5995",,"2016-01-02 00:00:00"
"F37124","5995",,"2016-05-02 00:00:00"
"F37127","8495",,"2016-05-01 00:00:00"
"F37147","7995",,"2016-28-01 00:00:00"
"F37357","3495",,"2016-01-01 00:00:00"
"F37363","3495",,"2016-01-01 00:00:00"
"F37699","3895",,"2016-01-01 00:00:00"
"F99357","2595",,"2016-01-01 00:00:00"
"F99461","2395",,"2016-01-02 00:00:00"
"F99462","2395",,"2016-01-02 00:00:00"
"F99466","2395",,"2016-01-02 00:00:00"
"F99567","2895",,"2016-01-01 00:00:00"
"F99667","2695",,"2016-01-01 00:00:00"
"G06799","895",,"2016-15-02 00:00:00"
"M20607","2695",,"2015-01-10 00:00:00"
"Q16507","8995",,"2016-01-02 00:00:00"
"Q16510","7495",,"2016-01-02 00:00:00"
"S12328","1495",,"2015-01-04 00:00:00"
"S14294","3295",,"2015-13-05 00:00:00"
"S17593","995",,"2015-01-03 00:00:00"
"S17995","1995",,"2015-01-05 00:00:00"
"S21319","1995",,"2016-01-02 00:00:00"
"S21320","1995",,"2016-01-02 00:00:00"
"S21336","1995",,"2016-01-02 00:00:00"
"S21338","1995",,"2016-01-02 00:00:00"
"S21490","795",,"2015-01-01 00:00:00"
"S21998","295",,"2015-01-01 00:00:00"
"S23015","995",,"2016-01-01 00:00:00"
"S74598","2295",,"2016-29-01 00:00:00"
"S74632","3895",,"2016-29-01 00:00:00"
"S74672","5495",,"2016-29-01 00:00:00"
"S74679","10595",,"2016-26-02 00:00:00"
"S74685","1195",,"2016-01-02 00:00:00"
"S74734","1295",,"2016-01-02 00:00:00"
"S74735","1295",,"2016-01-02 00:00:00"
"S74931","9995",,"2016-11-02 00:00:00"
"S74932","9995",,"2016-11-02 00:00:00"
"S74933","9995",,"2016-13-02 00:00:00"
"S75126","4795",,"2016-01-01 00:00:00"
"S75138","4995",,"2016-01-01 00:00:00"
"S75157","4395",,"2016-01-02 00:00:00"
"S75158","4395",,"2016-01-02 00:00:00"
"S75159","4395",,"2016-01-02 00:00:00"
"S75212","6995",,"2016-13-02 00:00:00"
"S75246","5495",,"2016-11-02 00:00:00"
"S75247","5495",,"2016-11-02 00:00:00"
"S75249","4995",,"2016-01-02 00:00:00"
"S75250","4995",,"2016-01-02 00:00:00"
"S75488","5595",,"2016-01-01 00:00:00"
"S75556","4795",,"2016-01-01 00:00:00"
"S75579","4995",,"2016-11-02 00:00:00"
"S75580","4995",,"2016-11-02 00:00:00"
"S75584","6995",,"2016-13-02 00:00:00"
"S77982","995",,"2016-01-01 00:00:00"
"S77990","995",,"2016-01-01 00:00:00"
"S78015","1395",,"2016-01-02 00:00:00"
"S78016","1395",,"2016-01-02 00:00:00"
"S78019","1395",,"2016-01-02 00:00:00"
"S78020","1395",,"2016-01-02 00:00:00"
"S78417","8195",,"2016-15-01 00:00:00"
"S78452","995",,"2016-01-01 00:00:00"
"S78648","4595",,"2016-01-02 00:00:00"
"S78976","4895",,"2016-01-01 00:00:00"
"S79021","4395",,"2016-01-01 00:00:00"
"S79023","4395",,"2016-01-01 00:00:00"
"S79047","5495",,"2015-01-11 00:00:00"
"S79061","4995",,"2016-15-02 00:00:00"
"S79062","4995",,"2016-15-02 00:00:00"
"S79063","7995",,"2016-01-02 00:00:00"
"S79126","5995",,"2016-16-01 00:00:00"
"S79130","6995",,"2016-01-01 00:00:00"
"S79299","5695",,"2016-01-02 00:00:00"
"S79478","9995",,"2016-30-01 00:00:00"
"S81337","3995",,"2016-01-02 00:00:00"
"S81338","3995",,"2015-01-06 00:00:00"
"S88115","2095",,"2015-01-07 00:00:00"
"S90218","1095",,"2015-15-08 00:00:00"
"S90220","1095",,"2015-15-08 00:00:00"
"S90389","1895",,"2015-01-07 00:00:00"
"S93138","1495",,"2016-30-01 00:00:00"
"S95306","2495",,"2016-01-02 00:00:00"
"S95307","2495",,"2016-01-02 00:00:00"
"S95874","795",,"2016-01-01 00:00:00"
