2016-12-20 13:47:39,387 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "{}"
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.headers  - http-outgoing-2 << HTTP/1.1 200 OK
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.headers  - http-outgoing-2 << Date: Tue, 20 Dec 2016 08:17:39 GMT
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.headers  - http-outgoing-2 << Content-Type: application/json
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.headers  - http-outgoing-2 << Content-Length: 2
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.headers  - http-outgoing-2 << Connection: close
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: Close connection
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2016-12-20 13:47:39,388 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 2][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 3][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:17250
2016-12-20 13:47:39,405 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:17250
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:21411<->127.0.0.1:17250
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-3: set socket timeout to 10800000
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/timeouts HTTP/1.1
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/timeouts HTTP/1.1
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Content-Type: application/json; charset=utf-8
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Content-Length: 47
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Host: localhost:17250
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Connection: Keep-Alive
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.headers  - http-outgoing-3 >> Accept-Encoding: gzip,deflate
2016-12-20 13:47:39,406 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/timeouts HTTP/1.1[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Content-Length: 47[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Host: localhost:17250[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Connection: Keep-Alive[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "[\r][\n]"
2016-12-20 13:47:39,407 [DEBUG] org.apache.http.wire  - http-outgoing-3 >> "{"ms":10000,"type":"implicit","implicit":10000}"
2016-12-20 13:47:39,410 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "HTTP/1.1 200 OK[\r][\n]"
2016-12-20 13:47:39,410 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "Content-Length: 2[\r][\n]"
2016-12-20 13:47:39,410 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "Connection: close[\r][\n]"
2016-12-20 13:47:39,410 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "Content-Type: application/json[\r][\n]"
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "Date: Tue, 20 Dec 2016 08:17:39 GMT[\r][\n]"
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "[\r][\n]"
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.wire  - http-outgoing-3 << "{}"
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.headers  - http-outgoing-3 << HTTP/1.1 200 OK
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.headers  - http-outgoing-3 << Content-Length: 2
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.headers  - http-outgoing-3 << Connection: close
2016-12-20 13:47:39,411 [DEBUG] org.apache.http.headers  - http-outgoing-3 << Content-Type: application/json
